category,Image_AUROC,Pixel_AUROC,PRO_score
carpet,0.9955858747993579,0.9901991232207019,0.959082125912792
grid,0.9699248120300752,0.9792290222280859,0.9215438271394459
leather,1.0,0.9898424966588343,0.9691352135674535
tile,0.9898989898989898,0.9408087566201664,0.8471429799146201
wood,0.9903508771929824,0.9434591921741052,0.8898977219447604
bottle,1.0,0.9814004270128984,0.9452570983067263
cable,0.9776986506746627,0.9844280999140127,0.9414028061758493
capsule,0.9796569605105704,0.989979459318634,0.9426884765257426
hazelnut,1.0,0.9885039810811737,0.9362842503417921
metal_nut,0.9931573802541545,0.9858836250058807,0.938088176689218
pill,0.9383524277141297,0.9759503913797475,0.9276695867103399
screw,0.9385119901619184,0.9939371216750871,0.971480938298412
toothbrush,0.9361111111111111,0.9909759812213892,0.9179740042649924
transistor,0.9904166666666667,0.9555857343695694,0.9158343354598812
zipper,0.9711134453781513,0.9870345126791479,0.9549725048986681
