category,Image_AUROC,Pixel_AUROC,PRO_score
carpet,0.9947833065810594,0.991669211090594,0.9765009799450716
grid,0.9440267335004178,0.963525146682258,0.9312707522891114
leather,0.9996603260869565,0.9928834485739704,0.9843210397815947
tile,0.955988455988456,0.9024818585343858,0.828666858802499
wood,0.987719298245614,0.9456646023942586,0.9272347471647797
bottle,0.9976190476190476,0.9837393424318107,0.956820695430886
cable,0.8212143928035982,0.953587738876958,0.8733411633163884
capsule,0.8891104906262466,0.9863062019887677,0.9428757767248315
hazelnut,0.6939285714285715,0.9813357540393958,0.9332112832372288
metal_nut,0.9706744868035191,0.9754157441245765,0.9238692071268333
pill,0.8374249863611565,0.9549909113921436,0.9369148309984808
screw,0.789711006353761,0.983722707598867,0.9440332675251879
toothbrush,0.8527777777777779,0.9890181101594641,0.9484371644226421
transistor,0.9087500000000001,0.9691852292501636,0.902733317738197
zipper,0.8694852941176471,0.9853419609813389,0.9541906686311593
