category,Image_AUROC,Pixel_AUROC,PRO_score
carpet,0.9987961476725522,0.9921198124814343,0.9735482782283775
grid,0.9632414369256473,0.9773132623140172,0.947559159693164
leather,1.0,0.993042745033497,0.9837330824636121
tile,0.9862914862914863,0.9393775161111309,0.8684859482586592
wood,0.9903508771929824,0.9500336672459901,0.9255569166752097
bottle, 0.9992063492063492, 0.9851463418407329, 0.9618333745504327
cable, 0.888680659670165, 0.9744436124611164, 0.9180274539275116
capsule, 0.9309932189868368, 0.9894392124388203, 0.9559675227511801
hazelnut, 0.94, 0.9850215087132409, 0.9417157927239281
metal_nut, 0.9882697947214076, 0.9790381355472677, 0.9424988009028075
pill,0.909165302782324,0.9651191258324757,0.9482641293648437
screw,0.8227095716335314,0.9885257289102046,0.9536365607403295
toothbrush,0.8861111111111111,0.9891989387565862,0.953132538298843
transistor,0.9770833333333333,0.9774410967611595,0.9361348406957629
zipper,0.9104516806722689,0.9875851601508795,0.9619749004078278
