category,Image_ROAUC,Pixel_ROAUC,PRO_score
carpet,0.9987961476725522,0.9928422733314638,0.9707459781838473
grid,0.9298245614035088,0.9599120087637202,0.9338510618370068
leather,1.0,0.9938720113434973,0.9848181276556537
tile,0.9862914862914862,0.932322076578117,0.8612787200145755
wood,0.9894736842105263,0.9435081485701261,0.9247664029904071
bottle,0.9984126984126984,0.9835655284878733,0.9582887811442738
cable,0.8279610194902549,0.9660190319316203,0.8947210468645485
capsule,0.887116074990028,0.9882681980014978,0.950498701801176
hazelnut,0.8575,0.9819548475164388,0.9354094795677192
metal_nut,0.9706744868035191,0.9781639666330086,0.937672065361169
pill,0.8622476813966174,0.9554605568393416,0.9366552485601278
screw,0.7519983603197377,0.9814965724953633,0.9313880341067757
toothbrush,0.8805555555555555,0.9889182125721194,0.950985484576421
transistor,0.9575,0.9741160890570019,0.9303936847391886
zipper,0.8996848739495799,0.9847705961864017,0.9548702481800634
